time,incoming_signal,delayed_response,delay_tau,temporal_boundary_error,rolling_tbe,recovery_pressure,temporal_state,state_numeric
85,-0.3011066051233338,-0.7007370202544315,6,0.3996304151310977,0.4126078277471586,0.5501437703295448,synchronized,1
86,-0.04775418779366457,-0.716419367133084,6,0.6686651793394194,0.39784381616225567,0.5304584215496742,synchronized,1
87,0.050936591751157695,-0.7115802222503307,6,0.7625168140014884,0.39829319724500156,0.5310575963266687,synchronized,1
88,0.130677119201836,-0.6802066759084926,6,0.8108837951103286,0.4155339237745059,0.5540452316993412,synchronized,1
89,0.362437714933786,-0.6613821077260263,6,1.0238198226598123,0.4531547919528375,0.6042063892704499,synchronized,1
90,0.4744583406319275,-0.6307626525019059,6,1.1052209931338335,0.5254483338354952,0.7005977784473268,synchronized,1
91,0.6836586360692721,-0.6047361155614035,7,1.2883947516306757,0.6351390534441979,0.8821375742280525,synchronized,1
92,0.6809174251128685,-0.5591916889956929,7,1.2401091141085614,0.7542032192002914,1.0475044711115158,synchronized,1
93,0.8306781266229835,-0.48247606381538866,7,1.3131541904383721,0.8802502220237292,1.2225697528107349,drifting,2
94,0.9319079678020924,-0.4024641654804067,7,1.3343721332824992,0.9946767208836089,1.381495445671679,drifting,2
95,0.9371118395490539,-0.32249297277807026,7,1.2596048123271242,1.0806741606032115,1.500936334171127,drifting,2
96,1.151599923742953,-0.2197533696212918,7,1.371353293364245,1.1509429720056938,1.5985319055634637,drifting,2
97,1.203933204053899,-0.1156216130833089,7,1.319554817137208,1.206646772319266,1.6758982948878693,drifting,2
98,1.2190164322262673,0.004270424289578259,7,1.214746007936689,1.247032993601902,1.7319902688915305,desynchronized,3
99,1.215216840175959,0.10576747441307179,7,1.1094493657628872,1.2555959479122096,1.74388326098918,desynchronized,3
100,1.1157574573556595,0.19203996701804127,8,0.9237174903376182,1.237445597632588,1.7874214188026272,desynchronized,3
101,1.1701896884128329,0.2878356909587826,8,0.8823539974540503,1.1968415222149253,1.728771087643781,drifting,2
102,1.1317637904231406,0.38444653248527905,8,0.7473172579378615,1.1475623365978556,1.657590041752458,drifting,2
103,1.031855975552331,0.46734632854484526,8,0.5645096470074858,1.0726978822547668,1.5494524965902188,drifting,2
104,1.0029187526174068,0.5699843678245614,8,0.4329343847928454,0.9825541074058014,1.4192448218083797,drifting,2
105,0.95261190870228,0.665076693258962,8,0.28753521544331795,0.8853471477174208,1.2788347689251633,drifting,2
106,0.9624003171355611,0.7481676541040578,8,0.21423266303150323,0.7696350846841467,1.1116951223215452,synchronized,1
107,0.7057791659508084,0.818225032014843,8,0.11244586606403462,0.6489241895768293,0.9373349404998645,synchronized,1
108,0.584375152678022,0.8628548958159654,8,0.27847974313794344,0.5552975630969548,0.8020964800289346,synchronized,1
109,0.42415521147434226,0.9007902800469195,9,0.47663506857257726,0.4920161333779238,0.7380242000668857,synchronized,1
110,0.14017589856078166,0.8715386129325028,3,0.7313627143717212,0.47278065578133405,0.5515774317448897,synchronized,1
111,0.15525200616802015,0.8284640938943306,3,0.6732120877263105,0.45186646480856013,0.5271775422766535,synchronized,1
112,0.028915100130216816,0.7678177615313324,3,0.7389026614011156,0.4510250051548855,0.5261958393473665,synchronized,1
113,0.0937452116715802,0.6736714820857498,3,0.5799262704141696,0.45256666749555385,0.5279944454114796,synchronized,1
114,-0.23753023999021697,0.5936471445570045,4,0.8311773845472215,0.4923909674709915,0.6018111824645452,synchronized,1
115,-0.8220966167884817,0.5278878737986569,4,1.3499844905871385,0.5986358949853735,0.7316660938710121,synchronized,1
116,-0.9229868567709584,0.45304195774839084,4,1.376028814519349,0.7148155101341581,0.8736634012750822,synchronized,1
117,-1.0504098011302112,0.39914744583686923,4,1.4495572469670805,0.8485266482244628,1.0370881256076767,synchronized,1
118,-0.8628501669754259,0.35333711071207585,5,1.2161872776875018,0.9422974016794186,1.2040466799237013,drifting,2
119,-0.8516438031289213,0.2647070081067319,5,1.1163508112356533,1.006268975945726,1.2857881359306498,drifting,2
120,-0.7672958062431802,0.1016864643724499,5,0.86898227061563,1.020030931570117,1.3033728570062606,drifting,2
121,-0.7860067230775338,-0.05201453379906135,5,0.7339921892784724,1.0261089417253333,1.3111392033157034,drifting,2
122,-0.45168627550313634,-0.1826603822448459,6,0.2690258932582904,0.9791212649110506,1.3054950198814006,drifting,2
123,-0.5000446754140045,-0.31282279507765065,6,0.1872218803363539,0.939850825903269,1.2531344345376918,drifting,2
124,-0.1446865586007006,-0.3953269008623169,6,0.25064034226161636,0.8817971216747086,1.175729495566278,drifting,2
125,0.19288469996702526,-0.46377443620230757,6,0.6566591361693328,0.812464586232928,1.0832861149772373,synchronized,1
126,0.15296516651501985,-0.5219548412412995,7,0.6749200077563193,0.742353705556625,1.0310468132730903,synchronized,1
127,0.3987847030162477,-0.5587559859915816,7,0.9575406890078293,0.6931520497607,0.9627111802231944,synchronized,1
128,0.6534127034824007,-0.5928435965544744,7,1.2462563000368752,0.6961589519956373,0.9668874333272739,synchronized,1
129,0.7885569697907433,-0.5716699983967737,7,1.360226968187517,0.7205465676908236,1.0007591217928105,synchronized,1
130,0.8635053759943121,-0.5536724399627281,8,1.4171778159570403,0.7753661222249647,1.1199732876582824,synchronized,1
131,1.1213661177953715,-0.5456282752804195,8,1.666994393075791,0.8686663426046966,1.2547402726512282,drifting,2
132,1.1243007973946086,-0.48548701777846165,8,1.6097878151730702,1.0027425347961745,1.4484058835944742,drifting,2
133,1.3025321683286526,-0.3837312601166386,8,1.686263428445291,1.1526466896070684,1.66493410721021,drifting,2
134,1.2067971661728547,-0.297238866104089,9,1.5040360322769437,1.277986258608601,1.9169793879129016,desynchronized,3
135,1.3803706808059062,-0.22970826121122265,9,1.6100789420171289,1.3733282391933805,2.059992358790071,desynchronized,3
136,1.1316127982638253,-0.13543431657710212,9,1.2670471148409275,1.4325409499018416,2.148811424852762,desynchronized,3
137,1.071351431339076,-0.017107263568176698,9,1.0884586949072526,1.4456327504917836,2.1684491257376752,desynchronized,3
138,1.034458512805965,0.08347073148940991,10,0.950987781316555,1.4161058986197517,2.2028313978529472,desynchronized,3
139,0.7182768268294764,0.1892336672346099,10,0.5290431595948665,1.3329875177604866,2.0735361387385347,desynchronized,3
140,0.6641025830761994,0.29037442354856524,10,0.37372815952763416,1.228642552117546,1.9112217477384048,desynchronized,3
141,0.5688368659269556,0.41502317768558616,10,0.15381368824136943,1.0773244816341037,1.675838082541939,drifting,2
142,0.15106571513867265,0.520974618702054,11,0.36990890356338135,0.9533365904731351,1.5359311735400512,drifting,2
143,0.11483074679838623,0.6114735455059371,11,0.4966427987075509,0.834374527499361,1.344270072082304,synchronized,1
144,-0.045998677480700294,0.7151323389293445,11,0.7611310164100448,0.7600840259126711,1.22457981952597,synchronized,1
145,-0.15108805447078277,0.788882063015871,11,0.9399701174866538,0.6930731434596236,1.1166178422405046,synchronized,1
146,-0.4329775355298603,0.8515693284894186,12,1.284546864019279,0.6948231183774587,1.1580385306290977,synchronized,1
147,-0.5281911372569276,0.9308895313368917,12,1.4590806685938191,0.7318853157461154,1.2198088595768588,synchronized,1
148,-0.4333504084578335,0.9609980213759317,12,1.3943484298337652,0.7762213805978364,1.293702300996394,synchronized,1
149,-0.46522303108829455,0.9775510328704033,12,1.442774063958698,0.8675944710342195,1.4459907850570324,drifting,2
150,-0.4429921960651917,0.9916210926407042,13,1.4346132887058958,0.9736829839520459,1.676898472361857,drifting,2
151,-0.369975883540523,0.9980467056654933,13,1.3680225892060163,1.0951038740485104,1.8860122275279902,drifting,2
152,-0.3493710236056074,0.9560812238400908,13,1.3054522474456982,1.188658208436742,2.0471335811966114,drifting,2
153,-0.1397804720587132,0.9122844277255071,13,1.0520648997842204,1.244200418544409,2.142789609715371,desynchronized,3
154,0.030730753418162726,0.875057151028111,14,0.8443263976099482,1.2525199566643994,2.226702145181154,desynchronized,3
155,0.13881424123482553,0.8291241082629376,14,0.690309867028112,1.227553931618545,2.1823181006551913,desynchronized,3
156,0.5500094205956928,0.7274153492942979,14,0.17740592869860505,1.1168398380864777,1.9854930454870714,drifting,2
157,0.6519807710728412,0.635527658919911,14,0.016453112152930216,0.9725770824423888,1.7290259243420245,drifting,2
