step,time_hours,x_m,y_m,corridor_center_y_m,corridor_error_m,vx_m_s,vy_m_s,speed_m_s,distance_to_earth_m,distance_to_moon_m,boundary_pressure,status
83,13.833333333333334,-210412.4574334151,-58090.6695930807,0.0,-58090.6695930807,-1204.923439637491,-332.65523385655234,1250.0,218284.05378529415,384610416.84437376,0.16624682444735836,STABLE_CORRIDOR
84,14.0,512541.6034986677,141502.48104543742,117287.6752470323,24214.805798405127,1204.9234348868047,332.6552510641969,1249.9999999999998,531715.9462147058,383887484.47569585,0.16674516088507912,STABLE_CORRIDOR
85,14.166666666666666,-210412.45626324252,-58090.673831608525,0.0,-58090.673831608525,-1204.923432936517,-332.6552581284099,1250.0,218284.05378529435,384610416.84320426,0.16624683190620665,STABLE_CORRIDOR
86,14.333333333333334,512541.6006482553,141502.4913700248,117287.67459476076,24214.816775264044,1204.9234281858298,332.6552753360555,1249.9999999999998,531715.9462147055,383887484.47855014,0.16674516826906377,STABLE_CORRIDOR
87,14.5,-210412.4550930697,-58090.67807013664,0.0,-58090.67807013664,-1204.9234262355417,-332.6552824002691,1250.0,218284.05378529447,384610416.84203476,0.16624683936505544,STABLE_CORRIDOR
88,14.666666666666666,512541.5977978427,141502.50169461293,117287.6739424892,24214.827752123732,1204.923421484854,332.65529960791594,1249.9999999999998,531715.9462147055,383887484.4814043,0.166745175653049,STABLE_CORRIDOR
89,14.833333333333334,-210412.45392289688,-58090.68230866507,0.0,-58090.68230866507,-1204.923419534566,-332.65530667213,1250.0000000000002,218284.05378529476,384610416.84086514,0.16624684682390484,STABLE_CORRIDOR
90,15.0,512541.5949474297,141502.5120192017,117287.67329021756,24214.83872898415,1204.9234147838777,332.65532387977794,1250.0,531715.9462147054,383887484.48425853,0.16674518303703467,STABLE_CORRIDOR
91,15.166666666666666,-210412.4527527236,-58090.686547193705,0.0,-58090.686547193705,-1204.9234128335888,-332.65533094399234,1250.0,218284.05378529476,384610416.83969563,0.16624685428275468,STABLE_CORRIDOR
92,15.333333333333334,512541.59209701617,141502.52234379118,117287.67263794577,24214.84970584541,1204.9234080828996,332.6553481516415,1250.0,531715.9462147052,383887484.4871128,0.16674519042102093,STABLE_CORRIDOR
93,15.5,-210412.4515825502,-58090.69078572266,0.0,-58090.69078572266,-1204.9234061326106,-332.6553552158564,1249.9999999999998,218284.0537852948,384610416.83852607,0.16624686174160513,STABLE_CORRIDOR
94,15.666666666666666,512541.5892466025,141502.53266838143,117287.67198567397,24214.86068270747,1204.9234013819212,332.65537242350683,1250.0000000000002,531715.9462147052,383887484.489967,0.1667451978050077,STABLE_CORRIDOR
95,15.833333333333334,-210412.45041237655,-58090.69502425182,0.0,-58090.69502425182,-1204.9233994316317,-332.6553794877221,1250.0,218284.05378529476,384610416.83735657,0.16624686920045612,STABLE_CORRIDOR
96,16.0,512541.58639618824,141502.54299297227,117287.67133340202,24214.871659570257,1204.9233946809413,332.6553966953735,1250.0,531715.9462147052,383887484.4928212,0.16674520518899497,STABLE_CORRIDOR
97,16.166666666666668,-210412.4492422028,-58090.69926278136,0.0,-58090.69926278136,-1204.9233927306518,-332.6554037595894,1250.0,218284.05378529482,384610416.836187,0.16624687665930754,STABLE_CORRIDOR
98,16.333333333333332,512541.58354577364,141502.55331756396,117287.67068113,24214.882636433962,1204.9233879799608,332.6554209672422,1250.0,531715.9462147052,383887484.4956755,0.1667452125729828,STABLE_CORRIDOR
99,16.5,-210412.4480720288,-58090.70350131113,0.0,-58090.70350131113,-1204.9233860296708,-332.6554280314585,1250.0,218284.0537852948,384610416.83501744,0.16624688411815966,STABLE_CORRIDOR
100,16.666666666666668,512541.58069535857,141502.56364215625,117287.67002885787,24214.89361329838,1204.923381278979,332.6554452391123,1249.9999999999998,531715.9462147051,383887484.49852973,0.16674521995697117,STABLE_CORRIDOR
101,16.833333333333332,-210412.44690185483,-58090.70773984122,0.0,-58090.70773984122,-1204.923379328689,-332.6554523033291,1250.0,218284.05378529493,384610416.833848,0.16624689157701225,STABLE_CORRIDOR
102,17.0,512541.57784494304,141502.5739667492,117287.66937658563,24214.904590163555,1204.9233745779964,332.655469510984,1250.0,531715.9462147051,383887484.50138396,0.1667452273409601,STABLE_CORRIDOR
103,17.166666666666668,-210412.4457316806,-58090.711978371575,0.0,-58090.711978371575,-1204.9233726277062,-332.65547657520125,1250.0,218284.053785295,384610416.83267844,0.16624689903586537,STABLE_CORRIDOR
104,17.333333333333332,512541.57499452715,141502.58429134285,117287.66872431333,24214.915567029515,1204.9233678770129,332.6554937828574,1250.0,531715.946214705,383887484.5042382,0.1667452347249495,STABLE_CORRIDOR
105,17.5,-210412.44456150616,-58090.71621690222,0.0,-58090.71621690222,-1204.9233659267222,-332.65550084707513,1250.0,218284.05378529502,384610416.8315088,0.166246906494719,STABLE_CORRIDOR
106,17.666666666666668,512541.5721441109,141502.59461593718,117287.66807204096,24214.926543896217,1204.9233611760285,332.65551805473234,1250.0,531715.946214705,383887484.50709236,0.16674524210893946,STABLE_CORRIDOR
107,17.833333333333332,-210412.44339133147,-58090.720455433126,0.0,-58090.720455433126,-1204.9233592257374,-332.6555251189505,1250.0,218284.05378529496,384610416.8303394,0.16624691395357313,STABLE_CORRIDOR
108,18.0,512541.56929369434,141502.6049405323,117287.66741976846,24214.937520763837,1204.923354475043,332.65554232660907,1250.0000000000002,531715.9462147051,383887484.5099466,0.1667452494929299,STABLE_CORRIDOR
109,18.166666666666668,-210412.44222115667,-58090.724693964294,0.0,-58090.724693964294,-1204.9233525247516,-332.6555493908277,1250.0000000000002,218284.053785295,384610416.82916987,0.16624692141242786,STABLE_CORRIDOR
110,18.333333333333332,512541.5664432772,141502.61526512794,117287.66676749587,24214.948497632067,1204.9233477740563,332.65556659848704,1250.0,531715.9462147051,383887484.51280075,0.16674525687692093,STABLE_CORRIDOR
111,18.5,-210412.44105098175,-58090.72893249578,0.0,-58090.72893249578,-1204.923345823765,-332.6555736627062,1250.0000000000002,218284.05378529502,384610416.8280003,0.16624692887128303,STABLE_CORRIDOR
112,18.666666666666668,512541.56359285966,141502.6255897244,117287.66611522318,24214.959474501215,1204.923341073069,332.65559087036695,1250.0,531715.9462147051,383887484.51565504,0.1667452642609124,STABLE_CORRIDOR
113,18.833333333333332,-210412.4398808065,-58090.7331710275,0.0,-58090.7331710275,-1204.923339122777,-332.6555979345865,1250.0,218284.0537852949,384610416.82683074,0.16624693633013882,STABLE_CORRIDOR
114,19.0,512541.5607424417,141502.63591432152,117287.66546295039,24214.970451371133,1204.9233343720803,332.6556151422484,1250.0,531715.946214705,383887484.51850927,0.16674527164490446,STABLE_CORRIDOR
115,19.166666666666668,-210412.43871063122,-58090.7374095596,0.0,-58090.7374095596,-1204.9233324217882,-332.65562220646854,1250.0,218284.05378529496,384610416.82566124,0.16624694378899516,STABLE_CORRIDOR
116,19.333333333333332,512541.55789202347,141502.64623891946,117287.66481067755,24214.98142824191,1204.923327671091,332.65563941413177,1250.0000000000002,531715.9462147051,383887484.52136344,0.16674527902889708,STABLE_CORRIDOR
117,19.5,-210412.43754045572,-58090.74164809188,0.0,-58090.74164809188,-1204.9233257207986,-332.65564647835225,1250.0000000000002,218284.05378529493,384610416.8244917,0.16624695124785205,STABLE_CORRIDOR
118,19.666666666666668,512541.55504160444,141502.65656351778,117287.6641584045,24214.992405113284,1204.9233209701003,332.6556636860161,1249.9999999999998,531715.9462147049,383887484.5242177,0.16674528641289021,STABLE_CORRIDOR
119,19.833333333333332,-210412.43637028034,-58090.74588662453,0.0,-58090.74588662453,-1204.9233190198079,-332.65567075023716,1250.0,218284.05378529523,384610416.8233221,0.16624695870670936,STABLE_CORRIDOR
120,20.0,512541.5521911853,141502.66688811686,117287.66350613144,24215.003381985414,1204.9233142691094,332.65568795790233,1250.0,531715.9462147049,383887484.5270719,0.1667452937968838,STABLE_CORRIDOR
121,20.166666666666668,-210412.43520010437,-58090.750125157414,0.0,-58090.750125157414,-1204.9233123188162,-332.6556950221238,1250.0,218284.05378529508,384610416.8221526,0.16624696616556717,STABLE_CORRIDOR
122,20.333333333333332,512541.5493407658,141502.67721271687,117287.66285385832,24215.01435885855,1204.923307568117,332.6557122297905,1250.0000000000002,531715.946214705,383887484.52992606,0.1667453011808779,STABLE_CORRIDOR
123,20.5,-210412.4340299284,-58090.75436369056,0.0,-58090.75436369056,-1204.9233056178236,-332.6557192940124,1250.0,218284.0537852951,384610416.8209831,0.16624697362442567,STABLE_CORRIDOR
124,20.666666666666668,512541.54649034573,141502.68753731734,117287.66220158504,24215.025335732294,1204.9233008671235,332.6557365016798,1250.0,531715.9462147049,383887484.53278035,0.16674530856487266,STABLE_CORRIDOR
125,20.833333333333332,-210412.43285975233,-58090.75860222403,0.0,-58090.75860222403,-1204.9232989168302,-332.6557435659023,1250.0,218284.0537852952,384610416.81981355,0.1662469810832846,STABLE_CORRIDOR
126,21.0,512541.5436399253,141502.69786191857,117287.6615493117,24215.03631260687,1204.9232941661294,332.655760773571,1250.0,531715.9462147048,383887484.53563464,0.1667453159488678,STABLE_CORRIDOR
127,21.166666666666668,-210412.431689576,-58090.76284075779,0.0,-58090.76284075779,-1204.9232922158355,-332.6557678377939,1250.0,218284.05378529523,384610416.818644,0.16624698854214406,STABLE_CORRIDOR
128,21.333333333333332,512541.5407895044,141502.7081865205,117287.66089703825,24215.047289482245,1204.923287465134,332.6557850454638,1250.0,531715.9462147048,383887484.5384888,0.16674532333286357,STABLE_CORRIDOR
129,21.5,-210412.43051939947,-58090.76707929181,0.0,-58090.76707929181,-1204.9232855148398,-332.6557921096872,1249.9999999999998,218284.0537852952,384610416.8174745,0.16624699600100412,STABLE_CORRIDOR
130,21.666666666666668,512541.53793908306,141502.7185111232,117287.66024476466,24215.058266358552,1204.9232807641376,332.6558093173584,1249.9999999999998,531715.9462147047,383887484.54134303,0.16674533071685985,STABLE_CORRIDOR
131,21.833333333333332,-210412.42934922304,-58090.77131782618,0.0,-58090.77131782618,-1204.9232788138436,-332.6558163815823,1250.0000000000002,218284.05378529546,384610416.816305,0.16624700345986468,STABLE_CORRIDOR
132,22.0,512541.53508866124,141502.72883572645,117287.659592491,24215.06924323544,1204.9232740631405,332.65583358925437,1249.9999999999998,531715.9462147044,383887484.54419726,0.1667453381008567,STABLE_CORRIDOR
133,22.166666666666668,-210412.42817904637,-58090.77555636081,0.0,-58090.77555636081,-1204.923272112846,-332.6558406534788,1250.0,218284.05378529563,384610416.81513536,0.1662470109187258,STABLE_CORRIDOR
