t,stability_S,energy_margin_E,raw_risk,risk_control_R,goal_alignment_G,correction_cost_C,variance_V,uncertainty_U,weight_stability_Ws,weight_energy_We,weight_risk_Wr,weight_goal_Wg,mission_control_score,control_state,control_action,control_state_number
130,0.45134959882132664,0.5854221448543807,0.33826823945679607,0.6617317605432039,0.6829034043974411,0.4954441664046175,0.18974789096143774,0.5664316499516713,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.25617163594153824,recover,recovery_maneuver,1
131,0.480191383607243,0.5899840945391162,0.3331198751196785,0.6668801248803216,0.6756087305269061,0.48345563401036756,0.18245426900814204,0.5515871197893931,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.26493318313684655,recover,recovery_maneuver,1
132,0.4399788727826192,0.6029572936330027,0.3546448446860473,0.6453551553139527,0.6655551551635404,0.5193917104276055,0.1758937837313953,0.5378948140593715,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.25482322222722714,recover,recovery_maneuver,1
133,0.46617574940661993,0.5897042870719258,0.3331308824767874,0.6668691175232127,0.6939406309883427,0.49039012356258777,0.15358175506520821,0.5567113293836218,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.26645141526412974,recover,recovery_maneuver,1
134,0.41893772976363164,0.6065865565440163,0.4364619677658701,0.5635380322341299,0.6907412101393113,0.5536590137647789,0.14403429598466438,0.5566269804053219,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.24341268002612984,recover,recovery_maneuver,1
135,0.46809974052540193,0.5492074604777942,0.39295829843845914,0.6070417015615408,0.6434411979670784,0.5064158556586997,0.1128056417353826,0.5500861623889032,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.2554212313825229,recover,recovery_maneuver,1
136,0.3970962807831671,0.5737184017361148,0.4071547242500162,0.5928452757499838,0.6311286964165922,0.5408083584880913,0.1400137078806833,0.5656760486456403,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.23528631021493637,recover,recovery_maneuver,1
137,0.3959124575768591,0.556128586429143,0.43745295828752506,0.5625470417124749,0.6505583946896566,0.5135706004512236,0.14155926264628615,0.5758069250534829,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.23375663730921686,recover,recovery_maneuver,1
138,0.41161435428583876,0.5868805968196801,0.4463262333391072,0.5536737666608929,0.6239134131083038,0.5629048381845402,0.13660099585671862,0.5706090077668843,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.23160491096607017,recover,recovery_maneuver,1
139,0.34791254502269425,0.5273841185895096,0.4548928659258711,0.5451071340741289,0.6419553698451541,0.5795957425538187,0.14969650616481517,0.6107551422786015,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.21315899384318365,recover,recovery_maneuver,1
140,0.37194563513924106,0.5211319496111152,0.4444243552674914,0.5555756447325086,0.6282409201726125,0.5788406343101594,0.1591232929058241,0.6065821834117503,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.21305553685877132,recover,recovery_maneuver,1
141,0.3867538631128676,0.5196267574529249,0.49064721687975027,0.5093527831202498,0.5893338272995781,0.517908044611144,0.1864125701717505,0.6159805005366324,0.28301886792452824,0.16981132075471697,0.29245283018867924,0.25471698113207547,0.21409813560968002,recover,recovery_maneuver,1
